,NeuralAgent_Student5_200cAgent,Student5_200cAgent
653,0.99,1.115
654,1.02,0.995
655,0.99,1.115
656,1.02,0.995
657,1.01,1.035
658,1.02,0.995
659,1.0,1.075
660,1.01,1.035
661,1.02,1.045
662,1.005,1.055
663,0.995,1.095
664,1.01,1.035
665,1.0,1.075
666,1.0,1.075
667,1.015,1.015
668,0.995,1.095
669,1.01,1.035
670,1.015,1.015
671,1.015,1.015
672,1.02,0.995
673,1.015,1.065
674,1.02,1.045
675,1.01,1.035
676,1.015,1.015
677,1.005,1.055
678,1.01,1.035
679,0.995,1.095
680,1.005,1.055
681,1.005,1.055
682,1.02,0.995
683,1.015,1.015
684,1.015,1.015
685,1.005,1.055
686,1.01,1.035
687,1.02,0.995
688,1.01,1.035
689,1.015,1.015
690,1.005,1.055
691,1.005,1.055
692,1.005,1.055
693,1.0,1.075
694,0.995,1.095
695,1.015,1.015
696,1.01,1.035
697,1.01,1.035
698,1.015,1.015
699,1.005,1.055
700,1.01,1.035
701,1.015,1.015
702,1.02,0.995
703,1.02,0.995
704,1.02,0.995
705,1.015,1.015
706,1.005,1.055
707,0.99,1.115
708,0.99,1.115
709,1.01,1.035
710,1.02,0.995
711,1.02,0.995
712,1.01,1.035
713,1.015,1.015
714,1.02,0.995
715,1.0,1.075
716,1.005,1.055
717,1.0,1.075
718,1.015,1.065
719,0.995,1.095
720,1.01,1.035
721,1.015,1.015
722,1.01,1.035
723,1.01,1.035
724,1.02,0.995
725,1.005,1.055
726,1.01,1.035
727,1.02,0.995
728,1.015,1.015
729,1.005,1.055
730,1.005,1.055
731,1.015,1.015
732,1.015,1.015
733,1.015,1.015
734,1.005,1.055
735,1.005,1.055
736,1.015,1.015
737,1.02,0.995
738,1.015,1.015
739,1.005,1.055
740,1.0,1.075
741,1.015,1.015
742,0.99,1.115
743,0.995,1.095
744,1.015,1.015
745,1.02,0.995
746,1.02,0.995
747,1.015,1.015
748,1.015,1.015
749,1.0,1.075
750,1.015,1.015
751,1.015,1.015
752,1.015,1.015
753,1.02,0.995
754,1.03,1.005
755,1.01,1.035
756,1.01,1.035
757,1.01,1.035
758,1.015,1.015
759,1.02,0.995
760,1.02,1.045
761,1.02,0.995
762,1.01,1.035
763,1.015,1.015
764,1.01,1.035
765,1.01,1.035
766,1.025,1.025
767,1.01,1.035
768,1.005,1.055
769,1.01,1.035
770,1.015,1.015
771,1.015,1.015
772,1.01,1.035
773,1.015,1.015
774,1.005,1.055
775,1.02,0.995
776,1.005,1.055
777,1.015,1.015
778,1.015,1.015
779,1.015,1.015
780,1.005,1.055
781,1.015,1.015
782,1.02,0.995
783,1.0,1.075
784,1.01,1.035
785,1.0,1.075
786,1.02,1.045
787,1.01,1.035
788,1.02,0.995
789,1.015,1.015
790,1.015,1.015
791,1.02,0.995
792,1.015,1.015
793,1.01,1.035
794,1.015,1.015
795,1.02,0.995
796,1.015,1.015
797,1.015,1.015
798,1.015,1.015
799,1.02,0.995
800,1.015,1.015
801,1.02,0.995
802,1.02,0.995
803,1.02,0.995
804,1.005,1.055
805,1.02,0.995
806,1.015,1.015
807,1.015,1.015
808,1.0,1.075
809,1.005,1.055
810,1.02,0.995
811,1.02,0.995
812,1.01,1.035
813,1.015,1.015
814,1.015,1.015
815,1.02,0.995
816,1.02,0.995
817,1.015,1.015
818,1.015,1.015
819,0.995,1.095
820,1.01,1.035
821,1.0,1.075
822,1.01,1.035
823,1.015,1.015
824,1.01,1.035
825,1.005,1.055
826,1.005,1.055
827,1.02,0.995
828,1.015,1.015
829,1.01,1.035
830,1.01,1.035
831,1.01,1.035
832,1.01,1.035
833,1.015,1.015
834,1.015,1.015
835,1.015,1.015
836,1.01,1.035
837,1.02,0.995
838,1.015,1.015
839,1.02,0.995
840,1.02,0.995
841,1.02,0.995
842,1.02,0.995
843,1.015,1.015
844,1.02,0.995
845,1.01,1.035
846,1.015,1.015
847,1.015,1.015
848,1.01,1.035
849,1.02,0.995
850,1.01,1.035
851,1.02,0.995
852,1.02,0.995
853,1.02,0.995
854,1.015,1.015
855,1.01,1.035
856,1.015,1.015
857,1.02,0.995
858,1.02,0.995
859,1.015,1.015
860,1.015,1.015
861,1.01,1.035
862,1.015,1.015
863,1.015,1.015
864,1.02,0.995
865,1.015,1.015
866,1.01,1.035
867,1.015,1.015
868,1.015,1.015
869,1.02,0.995
870,1.01,1.035
871,1.015,1.015
872,1.02,0.995
873,1.02,0.995
874,1.02,0.995
875,1.015,1.015
876,1.02,0.995
877,1.03,1.005
878,1.015,1.015
879,1.02,0.995
880,1.015,1.015
881,1.01,1.035
882,1.015,1.015
883,1.01,1.035
884,1.0,1.075
885,1.0,1.075
886,1.01,1.035
887,1.015,1.015
888,1.005,1.055
889,1.015,1.015
890,1.015,1.015
891,1.02,0.995
892,1.02,0.995
893,1.005,1.055
894,1.01,1.035
895,1.01,1.035
896,1.02,0.995
897,1.015,1.015
898,1.005,1.055
899,1.02,0.995
900,1.02,0.995
901,1.02,0.995
902,1.01,1.035
903,1.01,1.035
904,1.02,0.995
905,1.015,1.015
906,1.015,1.015
907,1.02,0.995
908,1.0,1.075
909,1.015,1.015
910,1.02,0.995
911,1.02,0.995
912,1.01,1.035
913,1.015,1.015
914,1.02,0.995
915,1.02,0.995
916,1.02,0.995
917,1.015,1.015
918,1.015,1.015
919,1.02,0.995
920,1.015,1.015
