,NeuralAgent_Student26_200mAgent,Student26_200mAgent
848,2.23,2.18
849,2.225,2.175
850,2.375,2.375
851,2.275,2.275
852,2.255,2.18
853,2.295,2.295
854,2.26,2.235
855,2.195,2.17
856,2.1,2.05
857,2.38,2.355
858,2.375,2.35
859,2.255,2.23
860,2.36,2.335
861,2.36,2.31
862,2.365,2.34
863,2.28,2.28
864,2.235,2.235
865,2.345,2.345
866,2.185,2.185
867,2.36,2.36
868,2.285,2.185
869,2.26,2.185
870,2.275,2.2
871,2.275,2.25
872,2.36,2.285
873,2.35,2.35
874,2.26,2.235
875,2.32,2.27
876,2.22,2.195
877,2.2,2.175
878,2.355,2.355
879,2.345,2.32
880,2.26,2.26
881,2.4,2.4
882,2.215,2.215
883,2.35,2.275
884,2.365,2.34
885,2.325,2.3
886,2.31,2.285
887,2.31,2.31
888,2.19,2.19
889,2.245,2.17
890,2.255,2.255
891,2.27,2.27
892,2.35,2.325
893,2.375,2.325
894,2.33,2.305
895,2.325,2.3
896,2.185,2.11
897,2.305,2.205
898,2.23,2.205
899,2.14,2.065
900,2.395,2.37
901,2.33,2.305
902,2.285,2.16
903,2.29,2.24
904,2.25,2.25
905,2.36,2.36
906,2.14,2.14
907,2.295,2.22
908,2.255,2.23
909,2.225,2.175
910,2.425,2.425
911,2.265,2.215
912,2.285,2.26
913,2.245,2.245
914,2.36,2.335
915,2.325,2.275
916,2.225,2.175
917,2.235,2.185
918,2.375,2.35
919,2.23,2.205
920,2.335,2.335
921,2.3,2.275
922,2.19,2.165
923,2.28,2.255
924,2.375,2.375
925,2.295,2.295
926,2.285,2.285
927,2.26,2.21
928,2.32,2.245
929,2.2,2.15
930,2.365,2.34
931,2.275,2.275
932,2.265,2.265
933,2.3,2.275
934,2.195,2.095
935,2.25,2.175
936,2.33,2.305
937,2.355,2.355
938,2.35,2.325
939,2.205,2.13
940,2.16,2.135
941,2.35,2.35
942,2.265,2.265
943,2.305,2.205
944,2.4,2.375
945,2.18,2.105
946,2.135,2.11
947,2.285,2.26
948,2.145,2.07
949,2.28,2.28
950,2.31,2.235
951,2.35,2.35
952,2.285,2.235
953,2.285,2.235
954,2.25,2.25
955,2.48,2.43
956,2.215,2.165
957,2.29,2.24
958,2.385,2.36
959,2.41,2.41
960,2.195,2.17
961,2.165,2.14
962,2.21,2.185
963,2.2,2.125
964,2.41,2.385
965,2.285,2.285
966,2.24,2.165
967,2.225,2.2
968,2.305,2.255
969,2.235,2.16
970,2.165,2.115
971,2.365,2.315
972,2.265,2.215
973,2.19,2.14
974,2.25,2.25
975,2.345,2.32
976,2.22,2.195
977,2.375,2.275
978,2.3,2.3
979,2.295,2.27
980,2.45,2.425
981,2.225,2.125
982,2.235,2.185
983,2.215,2.19
984,2.23,2.205
985,2.21,2.185
986,2.14,2.09
987,2.21,2.185
988,2.385,2.335
989,2.225,2.225
990,2.255,2.205
991,2.14,2.04
992,2.295,2.295
993,2.445,2.445
994,2.075,2.05
995,2.165,2.14
996,2.195,2.07
997,2.255,2.23
998,2.25,2.2
999,2.33,2.305
