,NeuralAgent_Student17_200bAgent_rng,Student17_200bAgent
541,0.145,4.745
542,0.115,4.815
543,0.13,4.73
544,0.155,4.68
545,0.085,4.91
546,0.155,4.655
547,0.125,4.75
548,0.15,4.675
549,0.145,4.72
550,0.11,4.835
551,0.125,4.775
552,0.125,4.775
553,0.145,4.695
554,0.12,4.795
555,0.14,4.74
556,0.115,4.79
557,0.115,4.815
558,0.115,4.79
559,0.135,4.71
560,0.115,4.79
561,0.125,4.775
562,0.13,4.755
563,0.12,4.795
564,0.125,4.75
565,0.13,4.755
566,0.1,4.85
567,0.105,4.83
568,0.11,4.81
569,0.115,4.815
570,0.12,4.77
571,0.095,4.895
572,0.12,4.82
573,0.1,4.875
574,0.14,4.74
575,0.12,4.77
576,0.135,4.71
577,0.115,4.815
578,0.11,4.81
579,0.115,4.815
580,0.12,4.77
581,0.11,4.81
582,0.105,4.855
583,0.125,4.775
584,0.1,4.85
585,0.125,4.8
586,0.11,4.835
587,0.125,4.775
588,0.12,4.795
589,0.105,4.83
590,0.13,4.78
591,0.12,4.77
592,0.095,4.87
593,0.11,4.835
594,0.12,4.795
595,0.105,4.83
596,0.12,4.795
597,0.095,4.87
598,0.12,4.795
599,0.095,4.87
600,0.1,4.85
601,0.085,4.91
602,0.12,4.795
603,0.125,4.775
604,0.09,4.915
605,0.11,4.835
606,0.135,4.785
607,0.11,4.81
608,0.11,4.835
609,0.125,4.775
610,0.125,4.8
611,0.12,4.795
612,0.155,4.655
613,0.105,4.83
614,0.095,4.87
615,0.095,4.895
616,0.145,4.72
617,0.13,4.755
618,0.125,4.775
619,0.095,4.87
620,0.125,4.8
621,0.1,4.85
622,0.13,4.78
623,0.12,4.82
624,0.11,4.835
625,0.105,4.855
626,0.1,4.85
627,0.11,4.81
628,0.12,4.795
629,0.12,4.82
630,0.1,4.85
631,0.095,4.895
632,0.1,4.85
633,0.095,4.87
634,0.1,4.875
635,0.115,4.79
636,0.1,4.875
637,0.09,4.89
638,0.12,4.795
639,0.08,4.93
640,0.11,4.86
641,0.105,4.855
642,0.105,4.83
643,0.115,4.815
644,0.08,4.93
645,0.11,4.81
646,0.105,4.855
647,0.095,4.87
648,0.1,4.875
649,0.085,4.91
650,0.09,4.89
651,0.11,4.81
652,0.095,4.87
653,0.09,4.89
654,0.085,4.91
655,0.08,4.93
656,0.08,4.93
657,0.105,4.88
658,0.115,4.79
659,0.115,4.84
660,0.1,4.85
661,0.095,4.87
662,0.12,4.795
663,0.105,4.83
664,0.095,4.895
665,0.095,4.87
666,0.095,4.895
667,0.09,4.915
668,0.095,4.895
669,0.095,4.87
670,0.095,4.895
671,0.095,4.895
672,0.095,4.87
673,0.095,4.87
674,0.1,4.875
675,0.1,4.875
676,0.08,4.93
677,0.1,4.875
678,0.1,4.9
679,0.085,4.91
680,0.105,4.88
681,0.105,4.855
682,0.115,4.84
683,0.095,4.895
684,0.09,4.915
685,0.085,4.935
686,0.075,4.95
687,0.1,4.875
688,0.125,4.8
689,0.09,4.89
690,0.1,4.875
691,0.105,4.855
692,0.105,4.855
693,0.105,4.855
694,0.105,4.83
695,0.085,4.91
696,0.085,4.91
697,0.09,4.89
698,0.1,4.875
699,0.1,4.875
700,0.095,4.87
701,0.095,4.895
702,0.09,4.89
703,0.08,4.93
704,0.095,4.87
