,NeuralAgent_TitFTatAgent_rng,TitFTatAgent
977,1.04,0.99
978,1.04,0.99
979,1.04,0.99
980,1.04,0.99
981,1.04,0.99
982,1.04,0.99
983,1.04,0.99
984,1.04,0.99
985,1.04,0.99
986,1.04,0.99
987,1.04,0.99
988,1.04,0.99
989,1.04,0.99
990,1.04,0.99
991,1.04,0.99
992,1.04,0.99
993,1.04,0.99
994,1.04,0.99
995,1.04,0.99
996,1.04,0.99
997,1.04,0.99
998,1.04,0.99
999,1.04,0.99
