,NeuralAgent_RandomChoiceAgent_rng,RandomChoiceAgent
747,2.125,2.775
748,1.89,2.94
749,1.93,2.955
750,1.97,2.77
751,2.09,2.74
752,1.715,2.965
753,2.29,2.515
754,2.31,2.41
755,2.15,2.725
756,2.4,2.275
757,2.2,2.575
758,2.055,2.805
759,2.04,2.765
760,2.135,2.635
761,2.065,2.465
762,1.9,2.85
763,2.23,2.48
764,2.07,2.62
765,2.205,2.405
766,1.96,2.835
767,2.23,2.58
768,2.665,1.94
769,2.035,2.985
770,1.93,2.83
771,2.005,2.755
772,1.875,3.075
773,1.69,3.04
774,1.93,3.03
775,1.88,3.03
776,1.755,3.305
777,1.56,3.31
778,1.755,3.13
779,1.925,3.025
780,1.93,2.78
781,1.635,3.285
782,2.17,2.72
783,1.725,3.175
784,1.745,3.22
785,1.8,3.375
786,2.11,2.635
787,1.755,3.38
788,1.49,3.615
789,1.875,2.925
790,1.995,3.195
791,2.35,2.125
792,1.83,3.305
793,1.67,3.52
794,1.665,3.34
795,2.67,1.245
796,1.78,3.255
797,1.94,2.865
798,1.97,3.395
799,1.74,3.59
800,2.79,1.34
801,2.325,2.175
802,1.755,3.505
803,1.71,3.61
804,1.69,3.69
805,1.685,3.385
806,1.485,3.86
807,1.74,3.74
808,2.3,2.275
809,2.225,2.575
810,1.74,3.59
811,1.535,3.935
812,1.59,3.89
813,1.5,3.925
814,1.55,3.925
815,1.315,4.09
816,1.54,3.965
817,1.515,3.99
818,1.455,3.98
819,1.945,3.145
820,1.725,3.3
821,1.48,4.005
822,1.355,4.08
823,1.2,4.2
824,1.655,3.705
825,1.995,3.045
826,1.605,3.93
827,1.59,3.94
828,1.495,3.945
829,1.41,4.06
830,1.68,3.88
831,2.535,1.785
832,1.515,3.99
833,1.695,3.87
834,1.985,3.06
835,2.215,2.565
836,3.05,0.525
837,2.97,0.67
838,1.51,3.96
839,1.485,4.01
840,1.44,4.04
841,2.995,0.57
842,1.5,4.0
843,1.47,4.02
844,1.715,3.64
845,2.14,2.465
846,1.455,4.03
847,2.15,2.1
848,1.545,3.97
849,2.93,0.53
850,2.12,2.62
851,3.08,0.505
852,2.255,1.78
853,3.11,0.535
854,1.44,4.04
855,1.485,4.01
856,1.575,3.925
857,2.01,2.635
858,1.825,3.1
859,1.8,3.35
860,1.455,4.03
861,1.685,3.81
862,2.41,2.06
863,1.495,3.97
864,1.545,3.97
865,1.49,3.99
866,1.945,2.845
867,1.425,4.025
868,1.49,3.89
869,1.505,3.98
870,1.34,4.09
871,1.6,3.925
872,2.875,0.775
873,1.61,3.66
874,1.555,3.855
875,1.56,3.81
876,3.11,0.535
877,1.515,3.99
878,1.785,3.31
879,1.435,4.035
880,2.715,0.815
881,1.5,4.0
882,3.28,0.43
883,1.43,4.03
884,1.875,3.1
885,1.425,4.05
886,3.1,0.5
887,3.1,0.5
888,1.46,4.01
889,2.76,0.835
890,1.53,3.58
891,2.22,2.52
892,2.825,1.025
893,1.515,3.99
894,1.69,3.84
895,1.93,3.105
896,1.335,4.11
897,1.685,3.86
898,2.145,2.195
899,1.22,4.17
900,2.04,2.365
901,2.945,0.57
902,3.01,0.51
903,1.5,4.0
904,1.56,3.91
905,1.425,4.05
906,3.3,0.425
907,1.935,2.935
908,1.775,3.2
909,2.42,1.845
910,1.47,4.02
911,2.48,1.905
912,1.47,4.02
913,3.155,0.505
914,3.13,0.48
915,2.82,1.045
916,2.905,0.58
917,1.69,3.815
918,2.33,2.105
919,2.795,0.595
920,1.455,4.03
921,1.93,2.88
922,2.34,1.79
923,1.79,3.09
924,1.29,4.14
925,1.99,2.84
926,1.515,3.99
927,3.14,0.64
928,1.515,3.99
929,1.82,3.17
930,1.635,3.51
931,1.345,4.07
932,1.545,3.97
933,2.705,1.18
934,2.9,0.525
935,2.315,2.115
936,1.76,3.335
937,1.575,3.95
938,2.88,0.83
939,2.2,2.3
940,1.535,3.685
941,2.44,1.59
942,3.055,0.555
943,2.85,0.925
944,3.0,0.675
945,2.895,0.82
946,2.225,2.25
947,2.635,1.16
948,1.51,3.96
949,1.605,3.93
950,2.32,2.345
951,1.41,3.96
952,1.79,3.415
953,2.51,1.685
954,1.5,3.975
955,2.025,2.7
956,1.835,3.41
957,2.45,1.725
958,2.46,1.885
959,2.83,0.655
960,2.835,0.585
961,2.945,0.545
962,1.435,4.01
963,2.94,0.515
964,1.665,3.79
965,2.425,2.075
966,2.96,0.51
967,2.835,0.61
968,3.02,0.495
969,3.06,0.485
970,1.615,3.74
971,3.04,0.49
972,3.02,0.495
973,2.81,0.61
974,2.855,0.555
975,3.055,0.53
976,2.93,0.555
977,3.01,0.51
978,2.94,0.515
979,2.78,0.555
980,2.93,0.53
981,2.9,0.525
982,2.905,0.555
983,2.8,0.55
984,2.86,0.535
985,2.9,0.55
986,3.3,0.425
987,3.15,0.475
988,3.36,0.41
989,2.72,0.57
990,3.1,0.475
991,2.94,0.515
992,3.02,0.52
993,2.86,0.535
994,3.0,0.5
995,3.2,0.475
996,2.865,0.69
997,2.92,0.595
998,2.98,0.505
999,3.14,0.465
