,NeuralAgent_Student22_200mAgent_rng,Student22_200mAgent
853,2.38,2.255
854,2.37,2.245
855,2.395,2.295
856,2.3,2.2
857,2.27,2.17
858,2.37,2.27
859,2.35,2.25
860,2.455,2.33
861,2.34,2.24
862,2.345,2.22
863,2.3,2.2
864,2.395,2.27
865,2.195,2.095
866,2.365,2.24
867,2.39,2.29
868,2.305,2.18
869,2.37,2.27
870,2.34,2.215
871,2.365,2.265
872,2.32,2.195
873,2.245,2.12
874,2.265,2.165
875,2.25,2.125
876,2.36,2.235
877,2.275,2.15
878,2.29,2.165
879,2.28,2.155
880,2.415,2.315
881,2.395,2.295
882,2.305,2.205
883,2.42,2.32
884,2.28,2.18
885,2.27,2.145
886,2.405,2.305
887,2.385,2.26
888,2.33,2.205
889,2.36,2.235
890,2.36,2.26
891,2.26,2.135
892,2.43,2.33
893,2.25,2.125
894,2.21,2.11
895,2.41,2.31
896,2.29,2.165
897,2.39,2.265
898,2.305,2.205
899,2.42,2.32
900,2.325,2.225
901,2.42,2.295
902,2.29,2.19
903,2.32,2.195
904,2.21,2.11
905,2.37,2.245
906,2.345,2.245
907,2.32,2.195
908,2.445,2.345
909,2.36,2.235
910,2.295,2.17
911,2.3,2.2
912,2.455,2.33
913,2.235,2.135
914,2.42,2.295
915,2.425,2.3
916,2.265,2.14
917,2.25,2.125
918,2.33,2.205
919,2.28,2.18
920,2.38,2.255
921,2.335,2.21
922,2.335,2.235
923,2.25,2.15
924,2.425,2.3
925,2.22,2.095
926,2.32,2.195
927,2.315,2.215
928,2.335,2.235
929,2.385,2.285
930,2.24,2.14
931,2.26,2.16
932,2.355,2.23
933,2.275,2.175
934,2.34,2.24
935,2.37,2.27
936,2.29,2.165
937,2.42,2.32
938,2.345,2.245
939,2.365,2.24
940,2.43,2.33
941,2.285,2.185
942,2.255,2.13
943,2.345,2.245
944,2.39,2.29
945,2.2,2.1
946,2.205,2.08
947,2.39,2.29
948,2.38,2.255
949,2.34,2.215
950,2.245,2.12
951,2.325,2.225
952,2.315,2.215
953,2.35,2.225
954,2.32,2.22
955,2.475,2.375
956,2.315,2.19
957,2.37,2.27
958,2.365,2.24
959,2.345,2.245
960,2.465,2.365
961,2.295,2.17
962,2.3,2.175
963,2.43,2.305
964,2.44,2.34
965,2.355,2.255
966,2.25,2.15
967,2.375,2.25
968,2.22,2.095
969,2.245,2.12
970,2.255,2.155
971,2.32,2.22
972,2.35,2.225
973,2.39,2.265
974,2.33,2.205
975,2.38,2.255
976,2.125,2.025
977,2.34,2.24
978,2.46,2.36
979,2.335,2.235
980,2.4,2.275
981,2.44,2.34
982,2.275,2.15
983,2.3,2.2
984,2.32,2.195
985,2.305,2.18
986,2.16,2.035
987,2.33,2.205
988,2.31,2.185
989,2.26,2.135
990,2.41,2.285
991,2.28,2.155
992,2.415,2.29
993,2.385,2.26
994,2.44,2.315
995,2.325,2.225
996,2.41,2.31
997,2.36,2.26
998,2.41,2.31
999,2.475,2.375
