,NeuralAgent_Student1_200aAgent,Student1_200aAgent
556,1.085,3.51
557,1.08,3.58
558,1.29,3.54
559,1.005,3.605
560,0.985,3.61
561,1.26,3.635
562,1.29,3.415
563,1.175,3.5
564,1.365,3.24
565,0.935,3.71
566,1.795,3.295
567,1.435,3.31
568,1.27,3.57
569,1.01,3.71
570,1.05,3.55
571,0.975,3.65
572,1.055,3.63
573,1.66,3.335
574,1.595,3.37
575,1.03,3.555
576,1.31,3.435
577,1.21,3.435
578,1.18,3.43
579,1.005,3.63
580,1.34,3.465
581,1.145,3.545
582,1.055,3.605
583,1.045,3.445
584,1.74,3.29
585,1.02,3.52
586,1.215,3.54
587,1.525,3.35
588,1.905,3.255
589,0.97,3.745
590,1.615,3.14
591,0.975,3.55
592,1.05,3.5
593,1.04,3.415
594,1.36,3.285
595,1.33,3.405
596,1.725,3.275
597,1.03,3.405
598,1.28,3.48
599,1.415,3.215
600,1.03,3.455
601,1.225,3.35
602,1.31,3.385
603,1.18,3.455
604,0.96,3.76
605,1.18,3.58
606,1.08,3.505
607,1.035,3.51
608,1.075,3.475
609,1.28,3.48
610,1.02,3.395
611,1.17,3.47
612,1.7,3.325
613,1.415,3.34
614,1.015,3.515
615,1.465,3.34
616,1.055,3.505
617,1.105,3.33
618,1.285,3.36
619,1.36,3.31
620,0.965,3.59
621,0.985,3.56
622,1.1,3.35
623,1.36,3.31
624,1.01,3.535
625,1.12,3.395
626,1.11,3.435
627,1.06,3.36
628,1.23,3.43
629,1.175,3.4
630,1.075,3.425
631,1.015,3.49
632,1.035,3.51
633,1.02,3.545
634,1.19,3.415
635,1.05,3.35
636,1.14,3.44
637,1.0,3.4
638,1.04,3.415
639,1.33,3.28
640,1.57,3.245
641,1.16,3.335
642,1.14,3.415
643,1.01,3.36
644,1.02,3.495
645,1.995,3.245
646,1.19,3.365
647,1.325,3.35
648,1.37,3.295
649,1.36,3.26
650,1.045,3.37
651,1.11,3.485
652,1.49,3.29
653,1.23,3.255
654,1.08,3.355
655,1.435,3.06
656,1.035,3.46
657,1.1,3.275
658,1.01,3.485
659,1.155,3.305
660,1.055,3.38
661,1.105,3.43
662,1.04,3.34
663,1.105,3.43
664,1.265,3.34
665,1.045,3.37
666,1.12,3.495
667,1.055,3.23
668,1.06,3.26
669,1.05,3.4
670,1.06,3.31
671,1.85,3.025
672,1.04,3.365
673,1.06,3.31
674,1.56,3.26
675,1.145,3.27
676,1.425,3.35
677,1.035,3.335
678,1.28,3.18
679,1.105,3.205
680,1.765,3.14
681,1.665,3.19
682,1.065,3.365
683,1.135,3.335
684,1.06,3.335
685,1.24,3.24
686,1.0,3.45
687,1.09,3.315
688,1.125,3.3
689,1.25,3.275
690,1.06,3.335
691,1.075,3.225
692,1.02,3.295
693,1.06,3.335
694,1.05,3.375
695,1.07,3.245
