,NeuralAgent_AlwaysDefectAgent_rng,AlwaysDefectAgent
792,0.99,1.04
793,0.99,1.04
794,0.995,1.02
795,1.0,1.0
796,1.0,1.0
797,1.0,1.0
798,1.0,1.0
799,1.0,1.0
800,1.0,1.0
801,1.0,1.0
802,1.0,1.0
803,1.0,1.0
804,0.995,1.02
805,0.985,1.06
806,1.0,1.0
807,1.0,1.0
808,1.0,1.0
809,0.995,1.02
810,1.0,1.0
811,1.0,1.0
812,0.995,1.02
813,1.0,1.0
814,0.995,1.02
815,1.0,1.0
816,1.0,1.0
817,1.0,1.0
818,0.99,1.04
819,1.0,1.0
820,1.0,1.0
821,1.0,1.0
822,1.0,1.0
823,0.995,1.02
824,1.0,1.0
825,1.0,1.0
826,0.99,1.04
827,1.0,1.0
828,0.99,1.04
829,1.0,1.0
830,0.99,1.04
831,1.0,1.0
832,1.0,1.0
833,0.995,1.02
834,1.0,1.0
835,1.0,1.0
836,1.0,1.0
837,0.995,1.02
838,1.0,1.0
839,1.0,1.0
840,0.995,1.02
841,1.0,1.0
842,0.995,1.02
843,1.0,1.0
844,0.995,1.02
845,1.0,1.0
846,0.995,1.02
847,0.995,1.02
848,1.0,1.0
849,1.0,1.0
850,1.0,1.0
851,1.0,1.0
852,1.0,1.0
853,0.99,1.04
854,1.0,1.0
855,1.0,1.0
856,1.0,1.0
857,1.0,1.0
858,1.0,1.0
859,0.99,1.04
860,0.995,1.02
861,0.995,1.02
862,1.0,1.0
863,1.0,1.0
864,1.0,1.0
865,1.0,1.0
866,1.0,1.0
867,1.0,1.0
868,1.0,1.0
869,0.995,1.02
870,0.995,1.02
871,1.0,1.0
872,1.0,1.0
873,1.0,1.0
874,1.0,1.0
875,1.0,1.0
876,0.995,1.02
877,1.0,1.0
878,1.0,1.0
879,0.995,1.02
880,1.0,1.0
881,1.0,1.0
882,1.0,1.0
883,1.0,1.0
884,0.995,1.02
885,1.0,1.0
886,0.995,1.02
887,1.0,1.0
888,0.985,1.06
889,1.0,1.0
890,0.99,1.04
891,1.0,1.0
892,0.995,1.02
893,1.0,1.0
894,1.0,1.0
895,0.99,1.04
896,1.0,1.0
897,0.995,1.02
898,1.0,1.0
899,0.995,1.02
900,0.995,1.02
901,1.0,1.0
902,1.0,1.0
903,1.0,1.0
904,0.995,1.02
905,1.0,1.0
906,1.0,1.0
907,0.985,1.06
908,0.995,1.02
909,0.995,1.02
910,1.0,1.0
911,1.0,1.0
912,1.0,1.0
913,0.985,1.06
914,1.0,1.0
915,1.0,1.0
916,0.99,1.04
917,1.0,1.0
918,0.995,1.02
919,0.995,1.02
920,1.0,1.0
921,1.0,1.0
922,1.0,1.0
923,1.0,1.0
924,1.0,1.0
925,1.0,1.0
926,1.0,1.0
927,1.0,1.0
928,1.0,1.0
929,1.0,1.0
930,1.0,1.0
931,1.0,1.0
932,1.0,1.0
933,0.995,1.02
934,1.0,1.0
935,0.99,1.04
936,0.995,1.02
937,0.995,1.02
938,1.0,1.0
939,1.0,1.0
940,1.0,1.0
941,0.995,1.02
942,0.995,1.02
943,0.995,1.02
944,1.0,1.0
945,1.0,1.0
946,1.0,1.0
947,1.0,1.0
948,1.0,1.0
949,0.995,1.02
950,0.99,1.04
951,0.99,1.04
952,1.0,1.0
953,1.0,1.0
954,0.995,1.02
955,1.0,1.0
956,1.0,1.0
957,1.0,1.0
958,1.0,1.0
959,0.99,1.04
960,1.0,1.0
961,0.995,1.02
962,0.995,1.02
963,1.0,1.0
964,1.0,1.0
965,1.0,1.0
966,1.0,1.0
967,1.0,1.0
968,1.0,1.0
969,1.0,1.0
970,0.995,1.02
971,1.0,1.0
972,1.0,1.0
973,1.0,1.0
974,0.995,1.02
975,0.995,1.02
976,1.0,1.0
977,0.995,1.02
978,0.995,1.02
979,1.0,1.0
980,0.995,1.02
981,0.995,1.02
982,1.0,1.0
983,1.0,1.0
