,NeuralAgentOpMe_TitF2tatAgent_rng,TitF2tatAgent
814,3.44,2.14
815,3.355,2.28
816,3.485,2.185
817,3.405,2.205
818,3.49,2.165
819,3.42,2.245
820,3.46,2.21
821,3.46,2.21
822,3.445,2.22
823,3.45,2.225
824,3.53,2.08
825,3.47,2.195
826,3.475,2.225
827,3.415,2.29
828,3.4,2.225
829,3.43,2.205
830,3.405,2.23
831,3.42,2.32
832,3.365,2.34
833,3.385,2.285
834,3.425,2.3
835,3.395,2.295
836,3.42,2.32
837,3.42,2.295
838,3.43,2.255
839,3.45,2.25
840,3.39,2.34
841,3.43,2.305
842,3.45,2.275
843,3.405,2.305
844,3.405,2.255
845,3.43,2.33
846,3.4,2.4
847,3.38,2.33
848,3.4,2.325
849,3.425,2.275
850,3.415,2.315
851,3.44,2.315
852,3.4,2.35
853,3.39,2.29
854,3.405,2.355
855,3.455,2.28
856,3.43,2.305
857,3.43,2.255
858,3.4,2.35
859,3.335,2.36
860,3.37,2.345
861,3.375,2.375
862,3.385,2.385
863,3.4,2.375
864,3.365,2.34
865,3.39,2.34
866,3.445,2.32
867,3.43,2.33
868,3.41,2.31
869,3.42,2.32
870,3.38,2.305
871,3.425,2.35
872,3.41,2.31
873,3.355,2.38
874,3.45,2.325
875,3.345,2.345
876,3.42,2.345
877,3.43,2.33
878,3.345,2.445
879,3.4,2.35
880,3.405,2.38
881,3.385,2.36
882,3.385,2.36
883,3.415,2.365
884,3.405,2.355
885,3.355,2.43
886,3.43,2.33
887,3.41,2.36
888,3.3,2.475
889,3.445,2.32
890,3.35,2.475
891,3.38,2.38
892,3.365,2.39
893,3.4,2.4
894,3.385,2.41
895,3.37,2.445
896,3.405,2.38
897,3.425,2.35
898,3.415,2.34
899,3.4,2.35
900,3.365,2.44
901,3.345,2.445
902,3.375,2.4
903,3.385,2.36
904,3.435,2.335
905,3.39,2.39
906,3.405,2.38
907,3.38,2.405
908,3.405,2.355
909,3.37,2.42
910,3.36,2.41
911,3.34,2.49
912,3.35,2.45
913,3.405,2.38
914,3.365,2.415
915,3.34,2.49
916,3.325,2.475
917,3.365,2.44
918,3.305,2.53
919,3.365,2.39
920,3.35,2.45
921,3.395,2.395
922,3.385,2.41
923,3.37,2.445
924,3.425,2.35
925,3.37,2.445
926,3.39,2.415
927,3.4,2.375
928,3.34,2.465
929,3.33,2.505
930,3.37,2.42
931,3.31,2.535
932,3.34,2.49
933,3.37,2.395
934,3.32,2.52
935,3.315,2.515
936,3.38,2.43
937,3.355,2.43
938,3.34,2.44
939,3.295,2.545
940,3.285,2.56
941,3.305,2.53
942,3.33,2.505
943,3.385,2.41
944,3.365,2.44
945,3.37,2.42
946,3.3,2.525
947,3.325,2.5
948,3.34,2.465
949,3.36,2.46
950,3.36,2.435
951,3.36,2.46
952,3.355,2.455
953,3.31,2.535
954,3.32,2.52
955,3.31,2.51
956,3.325,2.5
957,3.34,2.49
958,3.39,2.415
959,3.29,2.565
960,3.335,2.485
961,3.32,2.47
962,3.275,2.575
963,3.33,2.505
964,3.315,2.515
965,3.33,2.48
966,3.35,2.475
967,3.345,2.445
968,3.365,2.44
969,3.345,2.47
970,3.35,2.475
971,3.28,2.58
972,3.3,2.55
973,3.27,2.595
974,3.34,2.49
975,3.37,2.42
976,3.395,2.395
977,3.27,2.595
978,3.26,2.61
979,3.325,2.5
980,3.285,2.535
981,3.32,2.52
982,3.33,2.505
983,3.32,2.52
984,3.325,2.5
985,3.34,2.49
986,3.31,2.535
987,3.305,2.505
988,3.34,2.49
989,3.28,2.58
990,3.28,2.58
991,3.305,2.53
992,3.42,2.37
993,3.28,2.58
994,3.385,2.41
995,3.31,2.535
996,3.265,2.59
997,3.33,2.505
998,3.34,2.49
999,3.335,2.485
1000,3.31,2.535
1001,3.29,2.565
1002,3.36,2.46
1003,3.38,2.43
1004,3.24,2.64
1005,3.35,2.475
1006,3.29,2.565
1007,3.28,2.58
1008,3.31,2.535
1009,3.3,2.55
1010,3.37,2.445
1011,3.31,2.535
1012,3.28,2.58
1013,3.305,2.53
1014,3.335,2.485
1015,3.345,2.47
1016,3.285,2.56
1017,3.3,2.55
1018,3.26,2.61
1019,3.305,2.53
1020,3.28,2.58
1021,3.25,2.625
1022,3.235,2.635
1023,3.305,2.53
1024,3.37,2.445
1025,3.32,2.52
1026,3.32,2.52
1027,3.31,2.535
1028,3.27,2.595
1029,3.35,2.475
1030,3.295,2.545
1031,3.22,2.67
1032,3.28,2.58
1033,3.21,2.685
1034,3.28,2.58
1035,3.235,2.635
1036,3.34,2.465
1037,3.27,2.595
1038,3.28,2.58
1039,3.245,2.62
1040,3.245,2.62
1041,3.275,2.55
1042,3.305,2.53
1043,3.32,2.52
1044,3.36,2.46
1045,3.28,2.58
1046,3.285,2.56
1047,3.32,2.52
1048,3.27,2.595
1049,3.31,2.535
1050,3.32,2.52
1051,3.28,2.58
1052,3.31,2.535
1053,3.24,2.64
1054,3.17,2.745
1055,3.26,2.61
1056,3.24,2.64
1057,3.235,2.635
1058,3.325,2.5
1059,3.3,2.55
1060,3.24,2.64
1061,3.275,2.575
1062,3.29,2.565
1063,3.21,2.66
1064,3.27,2.595
1065,3.24,2.64
1066,3.3,2.55
1067,3.23,2.655
1068,3.23,2.655
1069,3.27,2.595
1070,3.26,2.61
1071,3.2,2.7
1072,3.275,2.575
1073,3.25,2.625
1074,3.28,2.58
1075,3.26,2.61
1076,3.24,2.64
1077,3.29,2.565
1078,3.265,2.59
1079,3.33,2.505
1080,3.27,2.595
1081,3.225,2.6
1082,3.28,2.58
1083,3.24,2.64
1084,3.17,2.745
1085,3.22,2.67
1086,3.3,2.55
1087,3.24,2.64
1088,3.285,2.56
1089,3.24,2.64
1090,3.26,2.61
1091,3.245,2.62
1092,3.235,2.635
1093,3.25,2.625
1094,3.325,2.5
1095,3.25,2.625
1096,3.24,2.64
1097,3.27,2.595
1098,3.24,2.64
1099,3.295,2.545
1100,3.24,2.64
1101,3.195,2.645
1102,3.27,2.595
1103,3.305,2.53
1104,3.2,2.7
1105,3.205,2.68
1106,3.245,2.62
1107,3.225,2.65
1108,3.29,2.565
1109,3.31,2.535
1110,3.25,2.625
1111,3.26,2.61
1112,3.25,2.625
1113,3.205,2.655
1114,3.24,2.64
1115,3.295,2.545
1116,3.28,2.58
1117,3.24,2.64
1118,3.22,2.67
1119,3.265,2.59
1120,3.23,2.63
1121,3.255,2.605
1122,3.195,2.695
1123,3.23,2.655
1124,3.26,2.61
1125,3.31,2.535
1126,3.235,2.635
1127,3.2,2.7
1128,3.21,2.685
1129,3.22,2.67
1130,3.25,2.625
1131,3.21,2.685
1132,3.27,2.595
1133,3.29,2.565
1134,3.305,2.53
1135,3.22,2.67
1136,3.255,2.605
1137,3.29,2.565
1138,3.21,2.685
1139,3.22,2.67
1140,3.225,2.65
1141,3.25,2.625
1142,3.275,2.575
1143,3.24,2.64
1144,3.24,2.64
1145,3.29,2.565
1146,3.24,2.64
1147,3.22,2.67
1148,3.28,2.58
1149,3.24,2.64
1150,3.235,2.635
1151,3.26,2.61
1152,3.205,2.63
1153,3.27,2.595
1154,3.31,2.535
1155,3.225,2.65
1156,3.22,2.67
1157,3.23,2.655
1158,3.26,2.61
1159,3.27,2.595
1160,3.23,2.655
1161,3.28,2.58
1162,3.24,2.64
1163,3.25,2.625
1164,3.24,2.64
1165,3.28,2.58
1166,3.23,2.655
1167,3.3,2.55
1168,3.25,2.625
1169,3.29,2.565
1170,3.22,2.67
1171,3.23,2.655
1172,3.23,2.655
1173,3.275,2.575
1174,3.24,2.64
1175,3.255,2.605
1176,3.24,2.64
1177,3.2,2.7
1178,3.19,2.715
1179,3.25,2.625
1180,3.23,2.655
1181,3.315,2.515
1182,3.225,2.65
1183,3.3,2.55
1184,3.33,2.505
1185,3.275,2.575
1186,3.19,2.715
1187,3.21,2.685
1188,3.225,2.65
1189,3.21,2.685
1190,3.2,2.7
1191,3.24,2.64
1192,3.21,2.685
1193,3.21,2.685
1194,3.21,2.685
1195,3.22,2.67
1196,3.21,2.685
1197,3.21,2.685
1198,3.2,2.7
1199,3.21,2.685
1200,3.18,2.73
1201,3.2,2.7
1202,3.27,2.57
1203,3.14,2.79
1204,3.28,2.58
1205,3.23,2.655
1206,3.24,2.64
1207,3.26,2.61
1208,3.15,2.775
1209,3.195,2.695
1210,3.24,2.64
1211,3.2,2.7
1212,3.2,2.7
1213,3.215,2.665
1214,3.215,2.665
1215,3.175,2.65
1216,3.22,2.67
1217,3.19,2.715
1218,3.28,2.58
1219,3.175,2.725
1220,3.26,2.61
1221,3.16,2.76
1222,3.19,2.715
1223,3.185,2.71
1224,3.2,2.7
1225,3.2,2.7
1226,3.235,2.635
1227,3.17,2.745
1228,3.17,2.745
1229,3.285,2.535
1230,3.2,2.7
1231,3.24,2.64
1232,3.225,2.65
1233,3.24,2.64
1234,3.18,2.73
1235,3.155,2.73
1236,3.28,2.58
1237,3.26,2.61
1238,3.215,2.64
1239,3.185,2.71
1240,3.23,2.655
1241,3.215,2.665
1242,3.13,2.805
1243,3.225,2.65
1244,3.21,2.685
1245,3.175,2.725
1246,3.25,2.625
1247,3.265,2.59
1248,3.15,2.775
1249,3.26,2.61
1250,3.23,2.655
1251,3.185,2.71
1252,3.21,2.685
1253,3.22,2.67
1254,3.125,2.8
1255,3.26,2.61
1256,3.19,2.715
1257,3.23,2.655
1258,3.22,2.67
1259,3.17,2.745
1260,3.165,2.74
1261,3.235,2.635
1262,3.125,2.8
1263,3.28,2.58
1264,3.125,2.8
1265,3.22,2.67
1266,3.21,2.685
1267,3.22,2.67
1268,3.2,2.7
1269,3.19,2.715
1270,3.205,2.68
1271,3.17,2.745
1272,3.175,2.725
1273,3.18,2.73
1274,3.14,2.79
1275,3.18,2.73
1276,3.19,2.715
1277,3.11,2.835
1278,3.17,2.745
1279,3.26,2.61
1280,3.21,2.685
1281,3.135,2.785
1282,3.145,2.745
1283,3.225,2.65
1284,3.155,2.755
1285,3.12,2.82
1286,3.2,2.7
1287,3.14,2.79
1288,3.205,2.68
1289,3.17,2.745
1290,3.19,2.715
1291,3.215,2.665
1292,3.135,2.785
1293,3.26,2.61
1294,3.2,2.7
1295,3.24,2.64
1296,3.21,2.685
1297,3.19,2.715
1298,3.23,2.655
1299,3.195,2.695
1300,3.21,2.685
1301,3.24,2.64
1302,3.155,2.755
1303,3.17,2.745
1304,3.16,2.76
1305,3.16,2.76
1306,3.22,2.67
1307,3.165,2.715
1308,3.235,2.635
1309,3.15,2.775
1310,3.19,2.715
1311,3.16,2.76
1312,3.15,2.775
1313,3.25,2.625
1314,3.225,2.65
1315,3.13,2.805
1316,3.17,2.745
1317,3.16,2.76
1318,3.21,2.685
1319,3.13,2.805
1320,3.23,2.655
1321,3.185,2.71
1322,3.145,2.77
1323,3.23,2.655
1324,3.08,2.88
1325,3.17,2.745
1326,3.16,2.76
1327,3.15,2.775
1328,3.25,2.625
1329,3.13,2.805
1330,3.18,2.73
1331,3.215,2.665
1332,3.165,2.715
1333,3.18,2.73
1334,3.155,2.755
1335,3.2,2.7
1336,3.175,2.725
1337,3.215,2.64
1338,3.19,2.715
1339,3.17,2.745
1340,3.18,2.73
1341,3.16,2.76
1342,3.13,2.805
1343,3.14,2.79
1344,3.175,2.725
1345,3.095,2.845
1346,3.16,2.76
1347,3.18,2.73
1348,3.15,2.775
1349,3.125,2.8
