,NeuralAgentOpMe_Student13_200mAgent_rng,Student13_200mAgent
803,1.1,0.975
804,1.1,0.975
805,1.1,0.975
806,1.1,0.975
807,1.1,0.975
808,1.1,0.975
809,1.1,0.975
810,1.1,0.975
811,1.1,0.975
812,1.1,0.975
813,1.1,0.975
814,1.1,0.975
815,1.1,0.975
816,1.1,0.975
817,1.1,0.975
818,1.1,0.975
819,1.1,0.975
820,1.1,0.975
821,1.1,0.975
822,1.1,0.975
823,1.1,0.975
824,1.1,0.975
825,1.1,0.975
826,1.1,0.975
827,1.1,0.975
828,1.1,0.975
829,1.1,0.975
830,1.1,0.975
831,1.1,0.975
832,1.1,0.975
833,1.1,0.975
834,1.1,0.975
835,1.1,0.975
836,1.1,0.975
837,1.1,0.975
838,1.1,0.975
839,1.1,0.975
840,1.1,0.975
841,1.1,0.975
842,1.1,0.975
843,1.1,0.975
844,1.1,0.975
845,1.09,0.99
846,1.1,0.975
847,1.1,0.975
848,1.1,0.975
849,1.1,0.975
850,1.1,0.975
851,1.1,0.975
852,1.1,0.975
853,1.1,0.975
854,1.1,0.975
855,1.1,0.975
856,1.1,0.975
857,1.1,0.975
858,1.1,0.975
859,1.1,0.975
860,1.1,0.975
861,1.1,0.975
862,1.1,0.975
863,1.1,0.975
864,1.1,0.975
865,1.1,0.975
866,1.1,0.975
867,1.1,0.975
868,1.1,0.975
869,1.1,0.975
870,1.1,0.975
871,1.1,0.975
872,1.1,0.975
873,1.1,0.975
874,1.1,0.975
875,1.1,0.975
876,1.1,0.975
877,1.1,0.975
878,1.1,0.975
879,1.1,0.975
880,1.1,0.975
881,1.1,0.975
882,1.1,0.975
883,1.1,0.975
884,1.1,0.975
885,1.1,0.975
886,1.1,0.975
887,1.1,0.975
888,1.1,0.975
889,1.1,0.975
890,1.1,0.975
891,1.1,0.975
892,1.1,0.975
893,1.1,0.975
894,1.1,0.975
895,1.1,0.975
896,1.1,0.975
897,1.1,0.975
898,1.1,0.975
899,1.1,0.975
900,1.1,0.975
901,1.1,0.975
902,1.1,0.975
903,1.1,0.975
904,1.1,0.975
905,1.1,0.975
906,1.1,0.975
907,1.1,0.975
908,1.1,0.975
909,1.1,0.975
910,1.1,0.975
911,1.1,0.975
912,1.1,0.975
913,1.1,0.975
914,1.1,0.975
915,1.1,0.975
916,1.1,0.975
917,1.1,0.975
918,1.1,0.975
919,1.1,0.975
920,1.1,0.975
921,1.1,0.975
922,1.1,0.975
923,1.1,0.975
924,1.1,0.975
925,1.1,0.975
926,1.1,0.975
927,1.1,0.975
928,1.1,0.975
929,1.1,0.975
930,1.1,0.975
931,1.1,0.975
