,NeuralAgent_Student4_200aAgent_rng,Student4_200aAgent
856,2.775,3.025
857,2.555,3.08
858,2.735,3.11
859,2.8,3.125
860,2.69,3.04
861,2.875,3.025
862,2.835,3.01
863,2.67,2.995
864,2.735,3.01
865,2.8,3.05
866,2.895,2.945
867,2.68,3.03
868,2.855,3.005
869,2.8,3.1
870,2.85,3.05
871,2.71,3.035
872,2.815,3.065
873,2.8,3.1
874,2.775,2.975
875,2.56,3.035
876,2.845,3.095
877,2.82,3.02
878,2.92,2.945
879,2.79,2.99
880,2.825,3.075
881,2.695,3.045
882,2.825,3.05
883,2.775,3.075
884,2.75,3.05
885,2.81,3.035
886,2.765,2.99
887,2.68,3.08
888,2.75,3.0
889,2.875,3.0
890,2.745,2.995
891,2.81,3.06
892,2.78,2.98
893,2.9,3.0
894,2.77,3.02
895,2.885,2.96
896,2.79,3.04
897,2.62,3.045
898,2.845,2.97
899,2.77,3.045
900,2.855,3.03
901,2.785,2.985
902,2.8,3.075
903,2.845,3.02
904,2.835,3.085
905,2.8,3.0
906,2.815,3.115
907,2.885,3.035
908,2.865,3.065
909,2.815,3.04
910,2.825,3.05
911,2.66,2.985
912,2.795,2.995
913,2.775,3.05
914,2.835,3.085
915,2.755,3.005
916,2.825,3.025
917,2.78,3.08
918,2.73,3.055
919,2.675,3.05
920,2.67,3.02
921,2.77,2.995
922,2.75,2.975
923,2.815,2.99
924,2.865,3.04
925,2.83,3.03
926,2.835,2.985
927,2.805,3.08
928,2.8,3.025
929,2.795,2.97
930,2.755,3.03
931,2.735,3.035
932,2.845,3.045
933,2.745,2.97
934,2.825,2.975
935,2.855,2.955
936,2.805,3.005
937,2.73,3.155
938,2.745,2.995
939,2.84,3.09
940,2.83,2.93
941,2.785,3.06
942,2.855,2.98
943,2.76,2.985
944,2.85,3.05
945,2.835,3.01
946,2.785,3.01
947,2.85,3.025
948,2.795,3.02
949,2.725,3.075
950,2.905,2.93
951,2.775,3.0
952,2.625,3.075
953,2.9,2.975
954,2.81,2.985
955,2.88,3.005
956,2.825,3.075
957,2.795,2.92
958,2.705,3.08
959,2.725,3.0
960,2.775,3.0
961,2.835,3.085
962,2.62,3.045
963,2.73,3.08
964,2.83,3.005
965,2.865,2.865
966,2.865,3.065
967,2.49,3.14
968,2.775,3.0
969,2.775,3.05
970,2.755,3.055
971,2.63,2.955
972,2.88,2.98
973,2.795,3.07
974,2.855,3.03
975,2.78,3.03
976,2.845,3.07
977,2.665,3.04
978,2.855,3.08
979,2.815,2.99
980,2.76,2.86
981,2.645,2.97
982,2.79,3.065
983,2.665,3.04
984,2.79,2.89
985,2.86,3.035
986,2.81,3.01
987,2.705,3.005
988,2.835,3.01
989,2.825,2.9
990,2.785,2.96
991,2.71,2.985
992,2.75,3.05
993,2.81,3.035
994,2.88,3.055
995,2.75,3.0
996,2.75,3.0
997,2.77,3.02
998,2.855,3.03
999,2.715,3.04
